komentar,clean_text,sentiment
"kalo ingin pakek kaos kaki tebel saran up satu size, kalo kaos kaki tipis size normal aja",kalo ingin pakek kaos kaki tebel saran up satu size kalo kaos kaki tipis size normal aja,netral
"pengiriman cepat, kualitas sepatu bagus, jahitannya rapih. ukuran sepatu akurat",kirim cepat kualitas sepatu bagus jahit rapih ukur sepatu akurat,positif
"Barang sudah diterima dengan baik, pengiriman cepat, product sepertinya bagus dan original, sudah dicoba pakai ukuran pas dan nyaman dipakai, recommended seller, terima kasih",barang sudah terima dengan baik kirim cepat product seperti bagus dan original sudah coba pakai ukur pas dan nyaman pakai recommended seller terima kasih,positif
"Pengiriman cepat, packing aman, rapi bangt malah. Kualitas barang ok, karena beli di official, sepatunya ringan, nyaman dipakai, ukuran pas. Dapat bonus kaos kaki..",kirim cepat packing aman rapi bangt malah kualitas barang ok karena beli di official sepatu ringan nyaman pakai ukur pas dapat bonus kaos kaki,positif
"sesuai pesanan, sengaja upsize 0,5 cm dari sepatu road, kalo tanpa Runner Knot agak heelslip pake kaos kaki tipis, kalo pake Runner knot aman. pesan biru orange tapi minta tuker jadi warna kuning, tetap dilayani seller, dapat bonus kaos kaki juga. ni sepatunya kualitasnya ok banget sih, kecuali kotak sepatunya.",sesuai pesan sengaja upsize cm dari sepatu road kalo tanpa runner knot agak heelslip pake kaos kaki tipis kalo pake runner knot aman pesan biru orange tapi minta tuker jadi warna kuning tetap layan seller dapat bonus kaos kaki juga ni sepatu kualitas ok banget sih kecuali kotak sepatu,positif
"shoe pad / insole tidak sama, di telapak kaki sebelah kiri lebih kasar",shoe pad insole tidak sama di telapak kaki belah kiri lebih kasar,netral
"bagus, brg sesuai, pengiriman cepat, kualitas oke, semoga awet",bagus barang sesuai kirim cepat kualitas oke moga awet,positif
Ukuran Sesuai Deskripsi Sepatu Nyaman 👟,ukur sesuai deskripsi sepatu nyaman,positif
"Alhamdulillah ala kulihal, barang sudah diterima dengan baik dan aman. Kualitas barang juga bagus sesuai dengan description. Semoga bermanfanfaat dan bisa membawa kebaikan. Aamiin",alhamdulillah ala kulihal barang sudah terima dengan baik dan aman kualitas barang juga bagus sesuai dengan description moga bermanfanfaat dan bisa bawa baik aamiin,positif
"Pengiriman cepat, untuk sepatunya Lumayanlah dgn hrg segitu",kirim cepat untuk sepatu lumayan dgn hrg segitu,positif
Kualitas barang ok.Pelayanan ok. Respon cepat. Pokonya mantap,kualitas barang okpelayanan ok respon cepat poko mantap,positif
keren.. kurir cepat seller fast respon barang datang sesuai pesanan,keren kurir cepat seller fast respon barang datang sesuai pesan,positif
"Terima kasih ka, sudah mau repot utk tukar size sepatunya ❤️ s",terima kasih ka sudah mau repot utk tukar size sepatu s,netral
Legit banget gan,legit banget gan,positif
Bentuk dan ukuran: Bagus,bentuk dan ukur bagus,positif
KW,kw,negatif
Bagus,bagus,positif
"Barang Bagus sesuai dengan yang promosi kan, nyaman & enteng di pakai",barang bagus sesuai dengan yang promosi kan nyaman enteng di pakai,positif
Bagus Bentuk dan ukuran: Ke besaran dikit... Pas nya 39...,bagus bentuk dan ukur ke besar dikit pas nya,positif
paket sda sampai sangat cepat kualitas produk sesuai harga mantap 👍,paket sda sampai sangat cepat kualitas produk sesuai harga mantap,positif
"Bentuk dan ukuran: Barang bagus sesuai keinginan,pelayan toko ramah kurirnya juga ramah, pengiriman cepat dan sepatunya enak dipakai, terima kasih besok kita belanja kesini lagi",bentuk dan ukur barang bagus sesuai keinginanpelayan toko ramah kurir juga ramah kirim cepat dan sepatu enak pakai terima kasih besok kita belanja kesini lagi,positif
"Barang bagus,rapi, ukuran pas,sesuai pesanan, kurir nya ramah Mantap lh pokok nya",barang bagusrapi ukur passesuai pesan kurir nya ramah mantap lh pokok nya,positif
Terimakasih sepatnya sudah sampai. Sepatunya pas dan nyaman dipakai.sesusai juga dgn produk nya. ☺☺☺,terimakasih sepat sudah sampai sepatu pas dan nyaman dipakaisesusai juga dgn produk nya,netral
Barang udah d Terima.... Kecewa katanya sold empuk ternyata keras,barang udah d terima kecewa kata sold empuk nyata keras,negatif
Bagus realpict .murmer lg.mantaap .amanah 👍👍👍,bagus realpict murmer lgmantaap amanah,positif
Telpak kaki ny keras tidak sesuai dgn yang di di promosi kan,telpak kaki ny keras tidak sesuai dgn yang di di promosi kan,netral
Alhamdulillah pket Sampai tpi agak ke kecilan 🙏🙏,alhamdulillah pket sampai tpi agak ke kecil,netral
"Maaf baru ngasih ulasan ,sepatunya bagus lumayan lah buat sehari2",maaf baru ngasih ulas sepatu bagus lumayan lah buat hari,positif
mengecewakan tidak sesuai harapan tidak memuaskan,kecewa tidak sesuai harap tidak muas,negatif
Gimana cih orang minta nomor 42 knpa yang di krim nomor 39 gak aman bgt,gimana cih orang minta nomor knpa yang di krim nomor gak aman banget,netral
Bentuk dan ukuran: Pas Daya tahan pakai: Kuat,bentuk dan ukur pas daya tahan pakai kuat,positif
Bagus sepatu nyah desain nyah elegan tapi sayang ka lem man nyah ga kuat baru z di pakai udah meler.,bagus sepatu nyah desain nyah elegan tapi sayang ka lem man nyah tidak kuat baru z di pakai udah meler,positif
